ano,mês,casos,tempmin,tempmed,tempmax,umidmin,umidmed,umidmax,nível,população,casos_acumulados_ano
2023,12,3,24.0355571428571,26.8398714285714,30.8674857142857,60.9700428571429,80.6597,95.0565,1,13553,38
2024,01,0,24.522125000000003,27.625767857142876,31.859325,52.4320857142857,75.23257142857142,93.25275357142854,1,13553,38
2024,02,3,23.953078571428577,26.434246428571427,29.792664285714302,67.73781785714287,84.0033607142857,95.46596785714286,1,13553,38
2024,03,3,23.79654857142858,26.1073257142857,29.3025257142857,73.28856285714285,87.5016,96.9996,1,13553,38
2024,04,5,23.604110714285724,26.14458214285715,29.507492857142875,69.94163571428572,86.60128571428572,97.71287142857145,2,13553,38
2024,05,3,23.50927142857145,26.171592857142848,29.71795,62.87089285714288,82.9899035714286,95.9988107142857,2,13553,38
2024,06,3,22.36028,25.51550285714286,29.389237142857162,57.99494,79.84297714285715,94.34133714285714,1,13553,38
2024,07,3,21.815050000000003,26.01881785714285,31.337267857142873,40.020021428571425,66.38209642857143,86.16828214285712,1,13553,38
2024,08,4,21.99903214285715,26.54182857142855,32.58825,34.33889285714285,63.44998214285715,83.95073214285712,1,13553,38
2024,09,7,22.757502857142878,26.971894285714303,33.15054285714284,34.25065142857142,63.41913428571429,82.99559428571428,1,13553,38
2024,10,2,23.6326607142857,27.008442857142875,32.33945357142857,41.13873928571425,68.3774107142857,87.56626428571428,1,13553,38
2024,11,2,23.9315035714286,27.455578571428575,32.896775,39.801271428571425,68.05876428571429,88.15111785714286,1,13553,38
2024,12,0,24.073008333333327,27.113225,31.693290476190477,50.256108333333295,74.86489285714288,92.23669285714286,1,13553,38
